@relation 'pacman-data-training-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-6,11-12'

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute movimientofantasma1 {North,South,East,West,Stop,None}
@attribute movimientofantasma2 {North,South,East,West,Stop,None}
@attribute movimientofantasma3 {North,South,East,West,Stop,None}
@attribute movimientofantasma4 {North,South,East,West,Stop,None}
@attribute marcador numeric
@attribute movimiento {North,South,East,West,Stop}

@data
14,11,North,East,North,Stop,278,East
15,11,North,West,South,Stop,277,East
16,11,North,North,Stop,Stop,476,East
2,14,North,Stop,Stop,Stop,657,East
3,14,East,Stop,Stop,Stop,656,East
4,14,West,Stop,Stop,Stop,655,East
5,14,West,Stop,Stop,Stop,654,East
6,14,East,Stop,Stop,Stop,653,East
7,14,East,Stop,Stop,Stop,652,East
8,14,East,Stop,Stop,Stop,651,East
9,14,East,Stop,Stop,Stop,650,East
10,12,North,Stop,Stop,Stop,647,East
11,12,North,Stop,Stop,Stop,646,East
12,12,East,Stop,Stop,Stop,645,East
13,12,East,Stop,Stop,Stop,644,East
14,12,North,Stop,Stop,Stop,643,East
15,12,West,Stop,Stop,Stop,642,East
13,8,North,South,East,South,-16,East
14,8,North,North,East,North,-17,East
15,8,South,North,West,West,-18,East
7,7,North,Stop,West,South,167,East
8,7,North,Stop,West,South,166,East
9,7,South,Stop,East,South,165,East
10,7,West,Stop,East,East,164,East
11,10,East,Stop,North,North,160,East
12,10,East,Stop,South,East,159,East
12,9,West,Stop,Stop,South,352,East
13,9,West,Stop,Stop,South,351,East
14,9,North,Stop,Stop,Stop,550,East
15,9,North,Stop,Stop,Stop,549,East
16,9,West,Stop,Stop,Stop,548,East
17,9,West,Stop,Stop,Stop,547,East
16,9,East,Stop,Stop,Stop,544,East
17,9,East,Stop,Stop,Stop,543,East
18,9,South,Stop,Stop,Stop,642,East
2,11,West,West,East,South,-2,East
3,11,West,North,West,South,-3,East
4,11,West,East,West,South,-4,East
5,11,East,South,West,South,-5,East
6,9,West,East,East,South,-8,East
7,11,East,East,Stop,West,189,East
8,11,South,East,Stop,West,188,East
