@relation pacman-data-training-weka.filters.unsupervised.attribute.Remove-R8-11

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute fantasmasvivos numeric
@attribute distanciafantasma1 numeric
@attribute distanciafantasma2 numeric
@attribute distanciafantasma3 numeric
@attribute distanciafantasma4 numeric
@attribute numerocomidas numeric
@attribute distanciacomidamascercana numeric
@attribute marcador numeric
@attribute movimiento {North,South,East,West,Stop}

@data
11,11,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,0,999999999,726,West
10,9,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,0,999999999,723,West
13,7,2,12,12,8,8,1,4,481,West
12,7,2,12,12,6,6,1,3,480,West
12,7,2,13,13,7,7,1,3,479,West
11,9,2,11,11,4,4,1,4,476,West
10,9,2,10,10,2,2,1,3,475,West
9,9,2,10,10,2,2,1,4,474,West
8,9,2,9,9,1,1,1,5,473,West
7,4,2,4,4,5,5,1,5,467,West
6,4,2,4,4,7,7,1,6,466,West
5,4,2,4,4,7,7,1,7,465,West
4,3,2,3,3,10,10,1,9,462,West
3,3,2,3,3,11,11,1,10,461,West
2,3,2,3,3,12,12,1,11,460,West
1,5,1,9223372036854776000,9223372036854776000,14,14,1,10,656,West
1,5,1,9223372036854776000,9223372036854776000,13,13,1,10,655,West
16,14,3,22,22,11,11,1,7,187,West
15,14,3,20,20,11,11,1,8,186,West
14,14,3,20,20,9,9,1,9,185,West
13,14,3,18,18,7,7,1,10,184,West
12,14,3,18,18,7,7,1,11,183,West
11,14,3,16,16,7,7,1,12,182,West
10,14,3,14,14,7,7,1,13,181,West
9,14,3,12,12,7,7,1,14,180,West
8,14,3,10,10,7,7,1,15,179,West
7,10,2,4,4,9223372036854776000,9223372036854776000,1,12,374,West
6,10,2,5,5,9223372036854776000,9223372036854776000,1,13,373,West
5,7,2,4,4,9223372036854776000,9223372036854776000,1,15,369,West
4,7,2,5,5,9223372036854776000,9223372036854776000,1,16,368,West
17,7,4,11,11,21,21,0,999999999,89,West
16,7,4,10,10,19,19,0,999999999,88,West
15,7,4,10,10,17,17,0,999999999,87,West
14,7,4,10,10,17,17,0,999999999,86,West
13,7,4,8,8,17,17,0,999999999,85,West
12,7,4,6,6,16,16,0,999999999,84,West
15,13,2,12,12,13,13,0,999999999,473,West
14,13,2,12,12,13,13,0,999999999,472,West
13,13,2,10,10,13,13,0,999999999,471,West
12,13,2,10,10,11,11,0,999999999,470,West
11,13,2,8,8,10,10,0,999999999,469,West
10,13,2,6,6,10,10,0,999999999,468,West
9,13,2,6,6,8,8,0,999999999,467,West
8,13,2,6,6,8,8,0,999999999,466,West
7,13,2,8,8,6,6,0,999999999,465,West
6,13,2,8,8,5,5,0,999999999,464,West
5,13,2,10,10,3,3,0,999999999,463,West
4,13,2,10,10,3,3,0,999999999,462,West
3,13,2,12,12,2,2,0,999999999,461,West
2,13,2,12,12,2,2,0,999999999,460,West
1,13,2,13,13,2,2,0,999999999,459,West
14,14,1,3,3,9223372036854776000,9223372036854776000,0,999999999,639,West
13,14,1,1,1,9223372036854776000,9223372036854776000,0,999999999,638,West
14,7,4,12,12,11,11,1,6,-20,West
13,7,4,10,10,11,11,1,7,-21,West
12,7,4,9,9,10,10,1,8,-22,West
11,9,4,13,13,7,7,1,7,-25,West
10,9,4,13,13,5,5,1,8,-26,West
9,9,4,12,12,3,3,1,9,-27,West
8,9,4,10,10,1,1,1,10,-28,West
7,9,3,8,8,9223372036854776000,9223372036854776000,1,11,171,West
6,9,3,7,7,9223372036854776000,9223372036854776000,1,12,170,West
11,7,3,11,11,9223372036854776000,9223372036854776000,1,9,155,West
16,9,1,18,18,9223372036854776000,9223372036854776000,1,2,546,West
15,9,1,18,18,9223372036854776000,9223372036854776000,1,3,545,West
